,#,Boardgame,Min. Players,Max. Players,Playing Time,Complexity (BGG),Language,Type,Categories,Mechanisms,
,2,Great Western Trail (2016),2,4,75-150 Min,"3,69",,Strategy,"American West, Animals","Deck, Bag, and Pool Building, Hand Management, Ownership, Set Collection, Track Movement, Variable Set-up",
,1,Gris en Grijp (2020),2,4,5-10 Min,1,Dutch,Children's,"Children's Game, Real-Time","Hot Potato, Speed Matching",
,2,GUBS: A Game of Wit and Luck (2007),2,6,20 Min,"1,36",,Family,"Card Game, Fantasy, Party Game","Hand Management, Set Collection, Take That",
,1,Hadara (2019),2,5,45-60 Min,"2,21",,Strategy,"City Building, Civilization","End Game Bonuses, Memory, Open Drafting, Set Collection, Simultaneous Action Selection",
,1,Halli Galli Twist (2023),2,4,15 Min,"1,33","Dutch, English",Party,"Card Game, Children's Game, Party Game, Real-time","Simultaneous Action, Selection",
,1,Hanabi (2010),2,5,25 Min,"1,69",,Family,"Card Game, Deduction, Memory","Communication Limits, Cooperative Game, Hand Management, Memory, Ordering, Set Collection",
,1,Hanamikoji (2013),2,2,15 Min,"1,67",Dutch,"Two-Player, Family","Card Game, Medieval","Area Majority / Influence, Force Commitment, Hand Management, I Cut, You Choose, Open Drafting, Race",
,1,Hannie Honingbij (2016),1,4,5-10 Min,1,Dutch,Children's,"Animals, Children's Game, Educational","Cooperative Game, Dice Rolling",
,1,Happy Campers (2023),1,99,15-30 Min,"1,44",,Family,"Dice, Puzzle","Dice Rolling, Drawing, End Game Bonuses, Paper-and-Pencil",
,1,Happy Salmon (2016),3,8,2 Min,"1,06",,Party,"Animals, Children's Game, Party Game, Real-Time",Real-Time,
,1,Harmonies (2024),1,4,30-45 Min,"2,01",English,Family,"Abstract Strategy, Animals, Environmental","Chaining, Hexagon Grid, Open Drafting, Pattern Building, Set Collection, Solo / Solitaire Game, Tile Placement, Variable Player Powers",
,1,Harry Potter: Hogwarts Battle - Defence Against the Dark Arts (2019),2,2,30-60 Min,"1,78",English,"Two-Player, Thematic","Card Game, Fantasy, Movies / TV / Radio theme","Deck, Bag, and Pool Building, Open Drafting, Take That",
,1,Harry Potter: Hogwarts Battle (2016),2,4,30-60 Min,"2,09",English,Thematic,"Card Game, Fantasy, Movies / TV / Radio theme, Novel-based","Cooperative Game, Deck, Bag, and Pool Building, Scenario / Mission / Campaign Game, Variable Player Powers",
,1,Heat: Pedal to the Metal FR (2022),1,6,30-60 Min,"2,21",French,Family,"Racing, Sports","Catch the Leader, Deck, Bag, and Pool Building, Hand Management, Programmed Movement, Push Your Luck, Race, Simulation, Simultaneous Action Selection, Solo / Solitaire Game, Track Movement, Variable Set-up",
,1,Heat: Pedal to the Metal NL (2022),1,6,30-60 Min,"2,21",Dutch,Family,"Racing, Sports","Catch the Leader, Deck, Bag, and Pool Building, Hand Management, Programmed Movement, Push Your Luck, Race, Simulation, Simultaneous Action Selection, Solo / Solitaire Game, Track Movement, Variable Set-up",
,2,Here to Slay (2020),2,6,30-60 Min,"1,68",,Party,"Animals, Card Game, Dice, Fantasy, Fighting","Action Points, Dice Rolling, Hand Management, Interrupts, Role Playing, Set Collection, Take That, Turn Order: Progressive, Variable Player Powers",
,1,Hero Realms (2016),2,4,20 MIN,"1,84",English,Strategy,"Card Game, Fantasy, Fighting","Deck, Bag, and Pool Building, Delayed Purchase, Hand Management, Once-Per-Game Abilities, Player Elimination, Take That",
,1,Heroes of Might and Magic III: The Board Game (2024),1,4,90-120 Min,"3,48",,Strategy,"Adventure, Exploration, Fantasy, Fighting, Video Game Theme","Action Points, Alliances, Area Majority / Influence, Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Events, Grid Movement, Hexagon Grid, Income, Minimap Resolution, Modular Board, Movement Points, Player Elimination, Scenario / Mission /, Campaign Game, Semi-Cooperative Game, Solo / Solitaire Game, Tile Placement, Zone of Control",
,1,Het Kleurenmonster (2018),2,5,25 Min,"1,08",Dutch,Children's,"Children's Game, Educational, Fantasy","Cooperative Game, Dice Rolling, Memory, Storytelling",
,1,Het Magische Labyrint (2009),2,4,20-30 Min,"1,21",,Children's,"Children's Game, Fantasy, Maze, Memory","Dice Rolling, Grid Movement, Memory, Network and Route Building, Roll / Spin and Move",
,1,Het Verhaal van Koning Schaak (2019),2,2,10 Min,"1,4",Dutch,"Two-Player, Children's","Abstract Strategy, Children's Game, Educational","Grid Movement, Pattern Recognition, Point to Point Movement",
,2,Hielenlikkers (2024),2,5,20-30 Min,"1,31",Dutch,Party,"Card Game, Medieval","End Game Bonuses, Set Collection, Take That",
,1,HINT (2014),4,10,45-60 Min,"1,27",,Party,Party Game,"Acting, Line Drawing, Singing, Team-Based Game",
,1,History of the World (2018),3,6,120-180 Min,"2,59",,Strategy,"Age of Reason, Ancient, Civilization, Medieval, Napoleonic, Pike and Shot, Post-Napoleonic, Renaissance, Wargame","Area Majority / Influence, Dice Rolling",
,1,Hive EN (2001),2,2,20 Min,"2,31",English,"Two-Player, Abstract","Abstract Strategy, Animals","Enclosure, Grid Movement, Hexagon Grid, Pattern Movement, Pieces as Map, Three Dimensional Movement, Tile Placement",
,1,Hive NL (2001),2,2,20 Min,"2,31",Dutch,"Two-Player, Abstract","Abstract Strategy, Animals","Enclosure, Grid Movement, Hexagon Grid, Pattern Movement, Pieces as Map, Three Dimensional Movement, Tile Placement",
,1,Holmes: Sherlock vs. Moriarty (2018),2,2,20-30 Min,"1,82",Dutch,"Two-Player, Family","Card Game, Novel-Based","Hand Management, Open Drafting, Set Collection, Worker Placement",
,1,Honey Buzz (2020),1,4,45-90 Min,"2,71",,Strategy,"Animals, Economic","Action Retrieval, Contracts, Enclosure, End Game Bonuses, Grid Movement, Hexagon Grid, Income, Market, Memory, Modular, Open Drafting, Pattern Building, Pieces as Map, Race, Resource to Move, Solo / Solitaire Game, Square Grid, Tile Placement, Variable Set-up, Worker Placement",
,1,Hoogspanning (2004),2,6,120 Min,"3,25",Dutch,Strategy,"Economic, Industry / Manufacturing","Auction / Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based, Variable Set-up",
,1,Hoogspanning: De Eerste Vonken (2011),2,6,60 Min,"2,71",,Strategy,"Animals, Economic, Prehistoric","Area Movement, Modular Board, Network and Route Building, Open Drafting",
,1,Hoogspanning: Het Kaartspel (2016),2,6,45-60 Min,"2,41",Dutch,Strategy,"Card Game, Economic, Industry / Manufacturing","Auction / Bidding, Market",
,1,Horrible Therapist (2024),3,8,15-60 Min,1,English,Party,"Card Game, Humor, Mature / Adult, Party Game","Player Judge, Simultaneous Action Selection",
,1,Horrified (2019),1,5,60 Min,"2,02",English,Family,"Horror, Movies / TV / Radio Theme","Action Points, Cooperative Game, Dice Rolling, Pick-up and Deliver, Point to Point Movement, Solo / Solitaire Game, Variable Player Powers, Variable Set-up",
,1,Hotel Deluxe (1974),2,4,60 Min,"1,4","Dutch, French",Family,Economc,"Auction / Bidding, Roll / Spin and Move, Take That",
,1,Hues and Cues (2020),3,10,30 Min,"1,07",English,Party,"Deduction, Party Game","Communication Limits, Deduction, Score-and-Reset Game, Targeted Clues, Turn Order: Progressive",
,1,Ice Team (2019),2,2,20 Min,"1,33","Dutch, French","Two-Player, Family","Animals, Racing","Grid Movement, Modular Board",
,1,ICECOOL (2016),2,4,30 Min,"1,06","Dutch, English, French",Family,"Action / Dexterity, Animals, Children's Game","Area Movement, Flicking, Take That",
,1,"Iene, miene, mij, in welk huis woon jij? (2017)",1,3,10 Min,1,Dutch,Children's,"Animals, Children's Game, Educational, Memory",,
,1,IKI (2015),2,4,60-90 Min,"3,07",Dutch,Strategy,Medieval,"Income, Open Drafting, Ownership, Rondel, Set Collection, Track Movement, Turn Order: Stat-Based",
,1,In de Palm van je Hand (2020),2,8,20-30 Min,"1,19",Dutch,Party,"Deduction, Party Game","Communication Limits, Cooperative Game, Team-Based Game",
,1,Inis (2016),2,4,60-90 Min,"2,94",,Strategy,"Ancient, Card Game, Exploration, Mythology, Wargame","Action Drafting, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Closed Drafting, Hand Management, Interrupts, King of the Hill, Map Addition, Modular Board, Take That, Variable Set-up",
,1,Inside Job (2022),2,5,20-30 Min,"1,65",,Family,"Card Game, Spies / Secret Agents","Communication Limits, Deduction, Hand Management, Hidden Roles, Semi-Cooperative Game, Team-Based Game, Traitor Game,Trick-taking, Variable Player Powers, Voting",
,2,Intarsia (2024),2,4,40-60 Min,"2,03",Dutch,Family,"Abstract Strategy, Puzzle","Pattern Building, Set Collection",
,1,Ishtar: Gardens of Babylon (2019),2,4,45 Min,"2,27",,Strategy,Ancient,"Area Majority / Influence, Rondel, Tile Placement",
,1,Istanbul (2014),2,5,40-60 Min,"2,58",Dutch,Strategy,Economic,"Contracts, Dice Rolling, Grid Movement, Mancala, Market, Modular Board, Network and Route Building, Pick-up and Deliver, Race, Variable Set-up, Worker Placement",
,1,It's a Wonderful Kingdom (2021),1,2,45 Min,"2,58",English,"Two-Player, Strategy","Card Game, Fantasy, Medieval","Betting and Bluffing, I Cut, You Choose, Open Drafting, Set Collection, Solo / Solitaire Game",
,1,It's a Wonderful World (2019),1,5,45 Min,"2,33",Dutch,Strategy,"Card Game, Civilization, Economic, Science Fiction","Closed Drafting, End Game Bonuses, Hand Management, Income, Set Collection, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers",
,1,Jaipur (2009),2,2,30 Min,"1,46",,Family,"Arabian, Card Game, Economic","End Game Bonuses, Hand Management, Hidden Victory Points, Market, Open Drafting, Race, Score-and-Reset Game, Set Collection, Sudden Death Ending, Turn Order: Progressive, Variable Set-up",
,2,Jakkiebak: Kippenkak! (1997),2,4,15-20 Min,"1,12",,Children's,"Animals, Children's Game, Memory",Memory,
,3,Jambo (2004),2,2,45 Min,"2,07",Dutch,"Two-Player, Strategy","Card Game, Economic","Action Points, Contracts, Hand Management, Race, Set Collection, Take That",
,1,Jenga (1983),1,8,20 Min,"1,1",,Party,"Action / Dexterity, Party Game","Physical Removal, Single Loser Game, Stacking and Balancing",
,1,Joking Hazard (2016),3,10,30-90 Min,"1,03",English,Party,"Card Game, Comic Book / Strip, Humor, Mature / Adult, Party Game","Hand Management, Player Judge, Simultaneous Action Selection",
,2,Jungle Speed (1997),2,10,10 Min,"1,13",,Party,"Action / Dexterity, Card Game, Party Game, Real-time","Pattern Recognition, Speed Matching",
,1,Jungle Speed Kids (2018),2,6,15-30 Min,1,,Children's,"Children's Game, Memory, Real-Time","Memory, Set Collection",
,2,Just One (2018),3,7,20-60 Min,"1,03",,Party,"Deduction, Party Game, Word Game","Communication Limits, Cooperative Game, Deduction, Score-and-Reset Game",
,1,Kahuna (1998),2,2,30-40 Min,"2,06",Dutch,"Two-Player, Abstract",Abstract Strategy,"Area Majority / Influence, Hand Management, Multi-Use Cards, Network and Route Building, Open Drafting, Set Collection, Sudden Death Ending, Tags, Take That",
,1,Kakkerlakkenpoker (2004),2,6,20 Min,"1,1",Dutch,Party,"Bluffing, Card Game, Party Game","Hand Management, Set Collection, Single Loser Game",
,1,Kakkerlakkensalade (2007),2,6,10-20 Min,"1,14",Dutch,Party,"Action / Dexterity, Card Game, Humor, Real-time","Pattern Recognition, Speed Matching",
,1,Karak Goblin (2021),2,4,30-90 Min,"1,91",,Family,"Card Game, Fantasy, Fighting","Card Play Conflict Resolution, Deck, Bag, and Pool Building, Open Drafting",
,1,Kariba (2010),2,4,15 Min,"1,06",,Family,"Card Game, Children's Game","Hand Management, Rock-Paper-Scissors",
,1,Karuba (2015),2,4,30-40 Min,"1,42",,Family,"Exploration, Puzzle","Bingo, Connections, Grid Movement, Network and Route Building, Simultaneous Action Selection, Tile Placement",
,1,Kattenbende (2024),2,2,15 Min,"1,52",,"Two-Player, Family",Animals,Square Grid,
,1,Kavango (2024),1,5,40-60 Min,"2,28",Dutch,Strategy,"Animals, Card Game, Educational, Environmental","Closed Drafting, Contracts, End Game Bonuses, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",
,2,Keer op Keer (2016),1,6,20 Min,"1,16",Dutch,Family,Dice,"Dice Rolling, Grid Coverage, Paper-and-Pencil, Solo / Solitarie Game",
,1,Keer op Keer Kids (2020),2,4,15 Min,1,,Children's,Children's Game,Dice Rolling,
,1,Keer op Keer! Deluxe (2023),1,4,20 Min,"1,16",Dutch,Family,Dice,"Dice Rolling, Grid Coverage, Paper-and-Pencil, Solo / Solitaire Game",
,1,Kelp: Shark vs Octopus (2024),2,2,40-60 Min,"2,39",English,"Two-Player, Thematic","Animals, Bluffing, Dice, Environmental","Area Movement, Deck, Bag, and Pool Building, Dice Rolling, Hidden Movement, Variable Player Powers",
,1,Keltis (2008),2,4,30 Min,"1,64",Dutch,Family,Ancient,"Hand Management, Set Collection, Track Movement",
,1,KeyForge: Call of the Archons (2018),2,2,15-45 Min,"2,49",English,"Two-Player, Strategy","Card Game, Collectible Components, Fantasy, Fighting","Hand Management, Take That",
,1,Keyword (2014),2,4,20 Min,1,,Family,"Puzzle, Word Game",Hand Management,
,2,Kheops (2008),2,2,45 Min,"2,14","Dutch, English","Two-Player, Strategy","Ancienct, Maze","Area Majority / Influence, Tile Placement",
,1,Kiki Koekoek (2016),2,5,10-15 Min,1,Dutch,Family,"Action / Dexterity, Children's Game, Party Game",Stacking and Balancing,
,1,Kill Shakespeare (2014),2,4,120-180 Min,"3,58",,Thematic,Comic Book / Strip,"Area Majority / Influence, Area Movement, Auction / Bidding, Dice Rolling, Open Drafting, Push Your Luck, Semi-Cooperative Game, Set Collection, Trading, Variable Player Powers",
,2,King of New York (2014),2,6,40 Min,"1,87",English,Family,"Dice, Fighting, Movies / TV / Radio Theme, Science Fiction","Dice Rolling, Die Icon Resolution, King of the Hill, Open Drafting, Player Elimination, Push Your Luck, Re-rolling and Locking, Tags, Take That",
,1,King of Tokyo (2011),2,6,30 Min,"1,48",Dutch,Family,"Dice, Fighting, Movies / TV / Radio Theme, Science Fiction","Dice Rolling, Die Icon Resolution, Open Drafting, Player Elimination, Push Your Luck, Re-rolling and Locking, Take That",
,1,King of Tokyo: Dark Edition (2020),2,6,30 Min,"1,62",Dutch,Family,"Dice, Fighting, Movies / TV / Radio Theme, Science Fiction","Dice Rolling, King of the Hill, Open Drafting, Player Elimination, Push Your Luck",
,1,King of Tokyo: Duel EN (2024),2,2,20 Min,"2,09",English,"Two-Player, Family","Dice, Fighting, Movies / TV / Radio Theme, Science Fiction","Dice Rolling, Die Icon Resolution, Open Drafting, Re-rolling and Locking, Sudden Death Ending, Tug of War, Variable Player Powers",
,1,King of Tokyo: Duel NL (2024),2,2,20 Min,"2,09",Dutch,"Two-Player, Family","Dice, Fighting, Movies / TV / Radio Theme, Science Fiction","Dice Rolling, Die Icon Resolution, Open Drafting, Re-rolling and Locking, Sudden Death Ending, Tug of War, Variable Player Powers",
,1,Kingdomino (2016),2,4,15-25 Min,"1,24",Dutch,Family,"Abstract Strategy, Medieval, Puzzle, Territory Building","Enclosure, Open Drafting, Tile Placement, Turn Order: Claim Action",
,1,Kippig (2017),3,5,20 Min,1,,Family,Card Game,Trick-Taking,
,1,Kites: De Tijd Vliegt (2022),2,6,10 Min,"1,06",Dutch,Family,"Card Game, Real-Time",Cooperative Game,
,1,KLASK (2014),2,2,10 Min,"1,05",English,"Two-Player, Family","Action / Dexterity, Real-Time","Real-Time, Score-and-Reset Game",
,1,Klus Geklaard! (2017),1,1,30-45 Min,"2,17",Dutch,"Solo, Strategy","Card Game, Memory, Puzzle","Hand Management, Memory, Ordering, Solo / Solitaire Game",
,2,Kluster (2018),1,4,10-20 Min,"1,04",,Abstract,"Abstract Strategy, Action / Dexterity, Party Game",Area Majority / Influence,
,4,Kluster Duo (2023),1,2,10-20 Min,1,English,"Two-Player, Abstract","Abstract Strategy, Action / Dexterity, Party Game","Area Majority / Influence, Map Deformation",
,1,Konijnenhokken (2008),2,7,20 Min,"1,24",Dutch,Family,"Animals, Children's Game, Dice","Dice Rolling, Push Your Luck, Re-rolling and Locking",
,1,Kruisverhoor: Inspecteur Hoogstraten (2006),2,2,40 Min,"1,83",Dutch,"Two-Player, Strategy","Card Game, Deduction, Murder / Mystery","Deduction, Hand Management",
,1,Kuddegedrag (2020),4,20,20-30 Min,1,Dutch,Party,"Animals, Party Game","Hot Potato, Voting",
,1,Kyoto no Neko (2024),2,4,35 Min,"1,71",Dutch,Family,"Adventure, Animals, Exploration","Dice Rolling, Grid Movement, Scenario / Mission / Campaign Game, Variable Set-up",
,1,L.A.M.A.: Het Dobbelspel (2021),2,6,20 Min,"1,13",Dutch,Family,Dice,"Dice Rolling, Push Your Luck",
,1,La Granja (2014),1,4,90-120 Min,"3,57",Dutch,Strategy,"Economic, Farming","Area Majority / Influence, Automatic Resource Growth, Contracts, Dice Rolling, Hand Management, Hidden Victory Points, Income, Market, Multi-Use Cards, Open Drafting, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers, Victory Points as a Resource",
,1,Lancaster (2011),2,5,60 Min,"2,99",,Strategy,Medieval,"Area Majority / Influence, Auction / Bidding, Voting, Worker Placement, Worker Placement, Different Worker Types",
,1,Landmarks (2024),2,10,15-25 Min,"1,41",Dutch,Party,"Party Game, Word Game","Communication Limits, Cooperative Game",
,1,Lang Leve de Koning (maar ik denk vooral aan mezelf) (2011),2,5,30 Min,"1,42",Dutch,Family,Card Game,"Auction / Bidding, Auction: Turn Order Until Pass, Closed Drafting, Commodity Speculation, Hand Management, Open Drafting, Set Collection",
,1,Lanterns: The Harvest Festival (2015),2,4,30 Min,"1,54",English,Family,Abstract Strategy,"Hand Management, Pattern Building, Set Collection, Tile Placement",
,1,Left Right Dilemma (2022),3,6,30 Min,1,English,Party,"Humor, Mature / Adult, Party Game","Cooperative Game, Voting",
,1,Legendary Forests (2017),2,5,15-20 Min,"1,23",English,Abstract,"Mythology, Puzzle","Bingo, Tile Placement",
,1,Legends of Andor: Chada & Thorn (2015),2,2,45 Min,"2,15",Dutch,"Two-Player, Thematic","Adventure, Card Game, Fantasy","Cooperative Game, Deck, Bag, and Pool Building, Scenario / Mission / Campaign Game, Variable Set-up",
,1,Leo Moet Naar de Kapper (2016),2,5,30 Min,"1,14",Dutch,Children's,"Children's Game, Mythology","Cooperative Game, Hand Management, Memory",
,1,Let's Go! To Japan (2024),1,4,45-60 Min,"2,23",English,Family,"Card Game, Transportation, Travel","Closed Drafting, Contracts, End Game Bonuses, Hand Management, Melding and Splaying, Multi-Use Cards, Set Collection, Simultaneous Action Selection, Solo / Solitaire Game, Storytelling, Tags",
,1,Letter Jam (2019),2,6,45 Min,"1,95",Dutch,Family,"Card Game, Deduction, Party Game, Word Game","Communication Limits, Cooperative Game, Spelling",
,1,Levensweg (1960),2,6,60 Min,"1,17",Dutch,Family,"Children's Game, Economic, Electronic","Events, Roll / Spin and Move, Simulation, Track Movement",
,1,Li-La-Lawaai (2018),2,6,10 Min,1,,Children's,"Animals, Children's Game",,
,1,Libertalia: De Winden van Galecrest (2022),1,6,45-60 Min,"2,2",Dutch,Strategy,"Fantasy, Pirates","Action Queue, Hand Management, Selection Order, Bid, Set Collection, Simultaneous Action Selection, Take That, Turn Order: Role Order, Variable Phase Order",
,1,Ligretto (1988),2,4,10 Min,"1,17",,Family,"Card Game, Real-Time","Ordering, Pattern Building, Real-Time, Speed Matching",
,1,Lisboa (2017),1,4,60-120 Min,"4,57",,Strategy,"City Building, Economic, Industry / Manufacturing, Political","Area Majority / Influence, Hand Management, Multi-Use Cards, Open Drafting, Set Collection, Solo / Solitaire Game, Tile Placement",
,2,Little Town (2017),2,4,30-60 Min,"1,95",English,Family,"City Building, Medieval","Contracts, Tile Placement, Worker Placement",
,1,Living Forest (2021),1,4,40 Min,"2,21","Dutch, French",Family,"Animals, Card Game, Environmental, Fantasy, Mythology, Territory Building","Deck, Bag, and Pool Building, Push Your Luck, Race, Simultaneous Action Selection, Tile Placement",
,1,Llamaland (2021),2,4,45 Min,"2,01",Dutch,Family,"Animals, Farming, Territory Building","Contracts, End Game Bonuses, Income, Layering, Map Addition, Open Drafting, Set Collection, Tags, Tile Placement, Variable Player Powers, Variable Set-up, Victory Points as a Resource",
,1,Loco Coco Nuts (2015),3,12,30 Min,"1,04",Dutch,Party,"Card Game, Humor, Mature / Adult, Party Game, Word Game","Hand Management, Simultaneous Action Selection",
,1,Logic! Case 5+ (2021),1,1,20 Min,1,,"Solo, Children's","Children's Game, Educational, Puzzle",,
,1,Loony Quest (2015),2,5,20-30 Min,"1,19",,Family,"Action / Dexterity, Children's Game, Fantasy, Real-time","Layering, Line Drawing",
,1,Lords of Waterdeep (2012),2,5,60-120 Min,"2,45",,Strategy,"City Building, Fantasy","Contracts, Hidden Roles, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That, Turn Order: Claim Action, Worker Placement",
,1,Lost Cities (1999),2,2,30 Min,"1,48",,Family,"Card Game, Exploration, Number","Hand Management, Melding and Splaying, Ordering, Push Your Luck, Score-and-Reset Game, Set Collection",
,2,Machi Koro (2012),2,4,30 Min,"1,52",Dutch,Family,"City Building, Dice","Dice Rolling, Ownership, Race, Random Production",
,1,Machi Koro 2 (2021),2,5,45 Min,"1,56",Dutch,Family,"City Building, Dice","Dice Rolling, Random Production",
,1,Machi Koro Nacht (2016),2,5,30 Min,"1,83",Dutch,Family,"Card Game, City Building, Dice","Dice Rolling, Open Drafting, Random Production",
,1,Machiavelli (2000),2,7,20-60 Min,"2,05",Dutch,Family,"Bluffing, Card Game, City Building, Deduction, Fantasy, Medieval","Action Drafting, Closed Drafting, Income, Lose a Turn, Set Collection, Take That, Turn Order: Role Order, Variable Player Powers",
,2,Machiavelli (2000),2,7,20-60 Min,"2,05",Dutch,Family,"Bluffing, Card Game, City Building, Deduction, Fantasy, Medieval","Action Drafting, Closed Drafting, Income, Lose a Turn, Set Collection, Take That, Turn Order: Role Order, Variable Player Powers",
,1,Machiavelli Deluxe (2016),2,8,30-60 Min,"2,06",Dutch,Family,"Bluffing, Card Game, City Building, Medieval","Action Drafting, Closed Drafting, Income, Lose a Turn, Set Collection, Take That, Turn Order: Role Order, Variable Player Powers, Variable Set-up",
,1,Magic Maze Kids (2018),2,4,15-25 Min,"1,67",,Children's,"Children's Game, Fantasy, Maze, Real-Time","Cooperative Game, Grid Movement, Set Collection, Variable Player Powers",
,1,Magic Maze on Mars (2019),1,6,15 Min,"2,14","Dutch, English, French, German",Family,"Exploration, Maze, Real-Time, Science Fiction","Cooperative Game, Grid Movement, Modular Board",
,1,Magic: The Gathering – Archenemy: Nicol Bolas (2017),2,4,30 Min,"3,25",,Strategy,Fantasy,"Hand Management, Income, Interrupts, Take That, Variable Player Powers",
,1,Magic: The Gathering – Explorers of Ixalan (2017),2,4,30 Min,3,,Strategy,"Card Game, Exploration, Fantasy, Territory Building","Hand Management, Player Elimination, Variable Player Powers",
,1,Majesty: For the Realm (2017),2,4,20-30 Min,"1,72",Dutch,Family,"Card Game, Medieval","Auction: Dutch, Open Drafting, Set Collection, Victory Points as a Resource",
,1,Mandala (2019),2,2,20 Min,"1,78",Dutch,"Two-Player, Abstract","Abstract Strategy, Card Game","Area Majority / Influence, Hand Management, Selection Order Bid, Set Collection",
,1,Maracaibo (2019),1,4,30-120 Min,"3,92",,Strategy,"Economic, Exploration, Nautical, Pirates","Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Multi-Use Cards, Narrative Choice / Paragraph, Point to Point Movement, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Stock Holding, Tech Trees / Tech Tracks, Track Movement, Variable Set-up",
,1,Mariposas (2020),2,5,45-75 Min,"2,2",Dutch,Family,"Animals, Environmental","Grid Movement, Hexagon Grid, Movement Points, Set Collection, Turn Order: Stat-Based",
,1,Marrakesh (2022),2,4,120 Min,"3,43",,Strategy,City Building,"Cube Tower, End Game Bonuses, Open Drafting, Simultaneous Action Selection",
,1,Max de Kat (1986),1,8,20 Min,"1,11",Dutch,Children's,"Animals, Children's Game, Racing","Cooperative Game, Roll / Spin and Move, Track Movement",
,2,Meadow (2021),1,4,60-90 Min,"2,26",Dutch,Family,"Animals, Card Game, Environmental, Puzzle","Hand Management, Layering, Open Drafting, Set Collection, Solo / Solitaire Game, Worker Placement, Different Worker Types",
,1,Meeple Land (2020),2,4,45 Min,"1,9","Dutch, English",Family,"City Building, Economic, Puzzle","Auction: Turn Order Until Pass, Income, Market, Modular Board, Network and Route Building, Set Collection, Square Grid, Tile Placement",
,2,Memoarrr! (2017),2,4,10-20 Min,"1,22",,Family,"Animals, Card Game, Memory, Nautical, Pirates","Memory, Modular Board, Variable Set-up",
,1,Memoir '44 (2004),2,8,30-60 Min,"2,27",English,Strategy,"Miniatures, Wargame, World War II","Area Majority / Influence, Campaign / Battle Card Driven, Command Cards, Dice Rolling, Die Icon Resolution, Grid Movement, Hand Management, Hexagon Grid, Line of Sight, Modular Board, Movement points, Scenario / Mission / Campaign Game, Simulation, Team-Based Game, Variable Set-up",
,1,Memorinth (2020),2,4,15-30 Min,"1,2",Dutch,Family,"Maze, Memory","Follow, Memory, Modular Board, Race",
,1,Menara (2018),1,4,10-60 Min,"1,55",Dutch,Family,"Action / Dexterity, Fantasy","Cooperative Game, Physical Removal, Stacking and Balancing",
,1,Merchants of the Dark Road (2022),1,4,60-120 Min,"3,27",,Strategy,"Exploration, Fantasy, Medieval, Transportation","Contracts, Dice Rolling, End Game Bonuses, Follow, Hidden Victory Points, Highest-Lowest Scoring, Market, Pick-up and Deliver, Rondel, Set Collection, Solo / Solitaire Game, Worker Placement with Dice Workers",
,1,Metrolijn (2021),1,6,20-60 Min,"1,61",Dutch,Family,"Number, Puzzle, Trains","Bingo, Network and Route Building, Paper-and-Pencil, Solo / Solitaire Game",
,1,Metropolis (1984),2,5,90 Min,"2,24",Dutch,Strategy,"City Building, Negotiation",,
,1,MicroMacro: Crime City – Full House (2021),1,4,15-45 Min,"1,17",Dutch,Family,"Deduction, Murder / Mystery","Cooperative Game, Deduction, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Team-Based Game",
,1,MicroMacro: Crime City – Showdown (2023),1,4,15-45 Min,1,Dutch,Family,"Deduction, Murder / Mystery","Cooperative Game, Deduction, Scenario / Mission / Campaign Game, Solo / Solitaire Game",
,1,MicroMacro: Crime City (2020),1,4,15-45 Min,"1,1",Dutch,Family,"Deduction, Murder / Mystery","Cooperative Game, Deduction, Scenario / Mission / Campaign Game, Solo / Solitaire Game",
,2,Middeleeuwen (2024),2,5,30 Min,"2,04",Dutch,Family,"Economic, Medieval","Modular Board, Open Drafting, Set Collection, Take That, Tile Placement, Variable Set-up",
,1,Mille Fiori (2021),2,4,60-90 Min,"2,17",Dutch,Strategy,"Card Game, Industry / Manufacturing","Area Majority / Influence, Closed Drafting, Pattern Building",
,1,Milo's Waterpark (2022),1,1,5 Min,1,,"Solo, Children's","Educational, Puzzle",,
,1,MindMaze (2012),2,8,45 Min,1,,Party,Party Game,Storytelling,
,1,Mini Make 'n' Break (2008),2,4,30 Min,"1,04",,Family,"Action / Dexterity, Card Game, Real-time","Dice Rolling, Pattern Building, Pattern Recognition, Stacking and Balancing",
,1,Mini Rogue (2020),1,2,30-45 Min,"2,02",,"Two-Player, Thematic","Adventure, Fantasy","Cooperative Game, Dice Rolling, Push Your Luck, Solo / Solitaire Game",
,1,Mint Works (2017),1,4,10-20 Min,"1,73",,Strategy,"Card Game, Industry / Manufacturing","Open Drafting, Ownership, Turn Order: Claim Action, Worker Placement",
,1,Mists over Carcassonne (2022),1,5,35 Min,"2,14",English,Family,Medieval,"Cooperative Game, Tile Placement",
